Clip,Escena,Duracion_s,Plano,Recurso,Emocion,Prompt_Imagen_Final,Prompt_Video_Final,Prompt_Negativo
53,15,8,plano general,reconstrucción,llegada,"Gran Muralla China, antigua China imperial historica. Meng Jiang (misma joven china de la dinastía Qin, rostro delicado y agotado, cabello negro recogido, túnica hanfu ocre con manto grueso cubierto de nieve) de pie y diminuta al pie de la imponente Gran Muralla China de tierra y piedra gris que se pierde en la altura. Cielo plomizo y amenazante, viento, ultrarrealista, sobrecogedor. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. La cámara se eleva lentamente en contrapicado mostrando la pequeñez de Meng Jiang frente al muro colosal e infinito, su manto ondeando al viento, sensación de soledad y desolación, cinematográfico. (Usar imagen base de Meng Jiang para mantener el mismo rostro y vestuario.) Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
54,15,8,primer plano,reconstrucción,dolor,"Gran Muralla China, antigua China imperial historica. Meng Jiang de rodillas llorando con las manos en el suelo frente al muro, viento agitando su ropa, ultrarrealista, desgarrador. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Primer plano de su llanto, lágrimas cayendo, viento creciendo a su alrededor, emotivo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
55,15,8,plano general,animación / reconstrucción,leyenda,"Gran Muralla China, antigua China imperial historica. Un tramo de la muralla agrietándose y desmoronándose frente a la mujer arrodillada, polvo elevándose, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El muro se resquebraja y cae en cámara lenta ante ella, polvo y luz atravesando, impactante, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
56,15,8,detalle,reconstrucción,revelación trágica,"Gran Muralla China, antigua China imperial historica. Entre los escombros del muro asoman huesos y restos de trabajadores, luz gris, ultrarrealista, sobrecogedor pero sobrio. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Cámara desciende lentamente sobre los restos descubiertos entre los escombros, solemne, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
57,16,8,plano general,reconstrucción,solemnidad,"Gran Muralla China, antigua China imperial historica. La muralla extendiéndose al atardecer en contraluz, sombras largas como figuras humanas, tonos rojizos, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino de la muralla en contraluz, sombras alargándose, viento suave, solemne, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
58,16,8,texto en pantalla,animación,impacto,"Gran Muralla China, antigua China imperial historica. Texto ""El cementerio más largo de la Tierra"" en tipografía sobria sobre la muralla difuminada al fondo, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El texto aparece lentamente mientras el fondo de la muralla se oscurece, gravedad, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
59,16,8,vista aérea,reconstrucción,contraste,"Gran Muralla China, antigua China imperial historica. Vista aérea de la muralla infinita bajo un cielo crepuscular, belleza y melancolía a la vez, ultrarrealista, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo lento sobre la muralla al crepúsculo, escala monumental y silencio, reflexivo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
60,17,8,primer plano,reconstrucción,ironía,"Gran Muralla China, antigua China imperial historica. El emperador anciano observando frascos de elíxires alquímicos a la luz de velas, rostro obsesivo, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Push-in al emperador examinando un frasco de elíxir, reflejos de luz, atmósfera enfermiza, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
61,17,8,plano general,reconstrucción,muerte,"Gran Muralla China, antigua China imperial historica. Cortejo fúnebre imperial con estandartes negros avanzando solemnemente, ultrarrealista, sombrío. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lateral del cortejo fúnebre bajo cielo gris, banderas a media asta, solemne, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
62,17,8,plano general,reconstrucción,caos,"Gran Muralla China, antigua China imperial historica. Palacio Qin en llamas y revueltas en las calles, caos y humo, ultrarrealista, dramático. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino del palacio ardiendo mientras la multitud se amotina, fuego y humo, caótico, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
63,17,8,vista cenital,mapa / animación,colapso,"Gran Muralla China, antigua China imperial historica. Mapa del imperio Qin cuyo color unificado se fragmenta y se agrieta de nuevo, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El color del imperio se quiebra y se dispersa sobre el mapa, sensación de derrumbe, elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
64,18,8,plano general,ruinas,abandono,"Gran Muralla China, antigua China imperial historica. Muro de tierra inacabado y erosionado en un paisaje desértico desolado, hierba seca, luz tenue, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lento sobre el muro abandonado, polvo arrastrado por el viento, soledad, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
65,18,8,detalle,ruinas,paso del tiempo,"Gran Muralla China, antigua China imperial historica. Detalle de grietas y maleza creciendo en el muro de tierra abandonado, ultrarrealista, melancólico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro deslizándose sobre las grietas y la maleza mecida por el viento, paso del tiempo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
66,19,8,plano general,reconstrucción,renacer,"Gran Muralla China, antigua China imperial historica. Estandartes rojos de la dinastía Han ondeando sobre la muralla restaurada, soldados chinos Han, amanecer, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling ascendente revelando los estandartes Han sobre el muro al amanecer, renacimiento, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
67,19,8,vista aérea,mapa / animación,expansión,"Gran Muralla China, antigua China imperial historica. Mapa donde la línea de la muralla se extiende hacia el oeste hacia los desiertos, ruta marcada en dorado, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. La línea de la muralla avanza hacia el oeste sobre el mapa siguiendo la Ruta de la Seda, dinámico y elegante. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
68,19,8,plano general,reconstrucción,comercio,"Gran Muralla China, antigua China imperial historica. Caravana de camellos cargados de seda cruzando dunas doradas junto a torres de adobe, cielo despejado, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling lateral siguiendo la caravana de camellos por el desierto junto a la muralla, arena moviéndose, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
69,19,8,detalle,detalle arqueológico,riqueza,"Gran Muralla China, antigua China imperial historica. Rollos de seda, especias y jade sobre una alforja de camello, texturas ricas, luz dorada, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Macro paneo sobre las mercancías preciosas de la caravana, brillo de la seda, opulento, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
70,20,8,plano general,reconstrucción,conexión,"Gran Muralla China, antigua China imperial historica. Larga ruta comercial serpenteando entre dunas con caravanas a lo lejos y la muralla acompañándolas, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo de dron siguiendo la ruta y las caravanas a través del desierto, amplitud, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
71,20,8,plano general,reconstrucción,vulnerabilidad,"Gran Muralla China, antigua China imperial historica. Torre solitaria de adobe vigilando un desierto inmenso al atardecer, un vigía en lo alto, ultrarrealista, solemne. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Plano general chino con leve push-in a la torre solitaria mientras el sol baja, sensación de aislamiento, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
72,20,8,contrapicado,reconstrucción,umbral,"Gran Muralla China, antigua China imperial historica. La Puerta de Jade, fortaleza de adobe en el desierto, imponente bajo el cielo abierto, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Contrapicado de la Puerta de Jade mientras una caravana la cruza, polvo dorado, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
73,20,8,vista aérea,reconstrucción,frontera del mundo,"Gran Muralla China, antigua China imperial historica. La Puerta de Jade como último punto antes de un desierto infinito que se pierde en el horizonte, ultrarrealista, 8K. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Vuelo aéreo alejándose de la puerta hacia la inmensidad del desierto, sensación de fin del mundo conocido, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
74,21,8,plano general,reconstrucción,ingenio,"Gran Muralla China, antigua China imperial historica. Serie de torres de vigilancia espaciadas a lo largo de la muralla hasta el horizonte, ultrarrealista, épico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Travelling aéreo siguiendo la línea de torres hacia el horizonte, ritmo y orden, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
75,21,8,plano medio,reconstrucción,acción,"Gran Muralla China, antigua China imperial historica. Vigía Han encendiendo una columna de humo en lo alto de una torre durante el día, ultrarrealista. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. El vigía aviva el fuego y el humo se eleva en columna, viento moviéndolo, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
76,21,8,plano general nocturno,reconstrucción,asombro,"Gran Muralla China, antigua China imperial historica. Hogueras encendiéndose en cadena en torres a lo largo de la muralla en la noche hacia el horizonte, ultrarrealista, cinematográfico. Estilo: fotorrealismo historico chino, iluminacion cinematografica, 8K, gran detalle. Arquitectura fiel: muralla china de piedra y ladrillo gris con parapeto almenado dentado, troneras y torres de vigilancia chinas (dilou) de tejado curvo; paisaje de montanias del norte de China.","Gran Muralla China, antigua China imperial historica. Una torre enciende fuego y en cadena se iluminan las siguientes hasta el horizonte, chispas y humo, épico, cinematográfico. Estilo: fotorrealismo historico chino, movimiento de camara cinematografico, continuidad realista. Ambientacion: Gran Muralla China autentica (piedra y ladrillo gris, almenas dentadas, torres dilou de tejado curvo) en montanias del norte de China.","sin militares modernos, sin soldados estadounidenses ni occidentales, sin uniformes contemporaneos ni camuflaje, sin bandera de Estados Unidos ni banderas modernas, sin cascos militares modernos, sin armas de fuego modernas (fusiles, ametralladoras, tanques, helicopteros, aviones), sin vehiculos motorizados, sin edificios modernos ni rascacielos, sin ropa occidental, sin elementos anacronicos, sin texto en ingles, sin logotipos, sin marcas de agua."
