clip,inicio,fin,tipo,elara_id,estado,bloque,narracion,prompt
40,05:07,05:15,Imagen,,HECHO,B9 Jardines,"académica Stephanie Dalley, proponen incluso que quizá estuvieron en otra ciudad, en Nínive. Pero lo que nadie discute es lo","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. los jardines verdes como un oasis suspendido en contraste con la llanura árida alrededor. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
41,05:15,05:23,Video,,HECHO,B10 Ciudad,que representaban: la prueba de que la humanidad podía organizarse a una escala que jamás se había visto antes. En,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling por un mercado babilónico abarrotado y colorido, mercaderes de muchos pueblos, telas, ánforas, especias, cambistas. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
42,05:23,05:31,Imagen,,HECHO,B10 Ciudad,"su apogeo, Babilonia albergaba entre ciento cincuenta mil y doscientas mil personas. Una cifra literalmente inconcebible para cualquiera que viniera","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. multitud diversa en una plaza de Babilonia, gente de distintos pueblos con vestimentas variadas conviviendo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
43,05:31,05:39,Imagen,,HECHO,B10 Ciudad,"de una aldea. Era la ciudad más grande del mundo. Un mosaico de lenguas, de dioses, de comerciantes venidos","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. vista aérea de la enorme ciudad de Babilonia, barrios, canales y el río atravesándola, la mayor del mundo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
44,05:39,05:47,Imagen,,HECHO,B11 Presagio,"de todos los rincones del mundo conocido. Y parecía, con toda razón, indestructible. Y sin embargo, esta ciudad que había","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. las murallas doradas al atardecer proyectando sombras largas, sensación de fortaleza eterna. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
45,05:47,05:55,Video,,HECHO,B11 Presagio,"sobrevivido a invasiones, sequías y a la ambición de decenas de reyes… cayó en una sola noche. ¿Cómo fue posible?","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. atardecer sobre Babilonia que se apaga rápidamente hacia una noche cerrada, nubes moviéndose en time-lapse suave, presagio. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
46,05:55,05:59,Elara,E3,HECHO,B11 Presagio,"Si quieres entender la respuesta completa, quédate conmigo hasta el final.","ELARA (subir imagen base `elara-avatar-referencia.jpg` como Ingredient; vestuario Babilonia: blusa crema, chaqueta rosa palo, pañuelo azul lapislázuli, zapatos de tacón de aguja de punta fina color nude). Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Elara a cámara: plantea la pregunta 'cómo cayó en una noche' e invita a suscribirse. Ver prompt de video rico y su línea hablada en `babilonia-elara-clips-flow.md`. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
47,05:59,06:13,Imagen,,HECHO,B12 Nabu,"Porque la caída de Babilonia no fue obra de una espada. Fue obra de una cadena de decisiones humanas: de ambiciones, de orgullo, y de una traición tan silenciosa que casi nadie la vio","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. retrato imponente de Nabucodonosor II, rey babilonio con corona cónica, barba rizada y manto bordado, mirada firme. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
48,06:13,06:27,Video,,HECHO,B12 Nabu,"venir. Y si esta historia ya te está atrapando, suscríbete al canal y activa la campana: cada semana desentierro contigo un mundo que el tiempo intentó borrar. Para entender cómo se pierde un imperio, primero","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio del rey Nabucodonosor II en su trono revisando planos de construcción sobre tablillas, gesto de mando, sala palaciega dorada. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
49,06:27,06:40,Imagen,,HECHO,B12 Nabu,"hay que ver la mano que lo levantó hasta el cielo. Esa mano fue la de Nabucodonosor Segundo. Y ojo con esto, porque muchos lo confunden: el gran constructor de Babilonia fue Nabucodonosor Segundo,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. obras de construcción de Babilonia: andamios de madera, obreros elevando ladrillos, la ciudad creciendo bajo su reinado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
50,06:40,06:54,Imagen,,HECHO,B13 Ladrillos,"que reinó durante cuarenta y tres años, desde el año seiscientos cinco hasta el año quinientos sesenta y dos antes de Cristo. En ese tiempo transformó una ciudad ya poderosa en algo parecido a un","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de un ladrillo de barro cocido con el nombre del rey grabado en escritura cuneiforme. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
51,06:54,07:08,Video,,HECHO,B13 Ladrillos,"estado total: una maquinaria militar, económica y religiosa que se extendía desde las costas del Mediterráneo hasta las montañas de Persia. Fue un general brillante y un constructor obsesivo. Tan obsesivo que mandó grabar","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. manos de un obrero colocando un ladrillo sellado con inscripción cuneiforme en un muro recién levantado, argamasa de betún. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
52,07:08,07:22,Imagen,,HECHO,B13 Ladrillos,"su propio nombre en los ladrillos de sus obras, y los arqueólogos, dos mil años después, los encontrarían por todas partes, como una firma repetida hasta el infinito. Su campaña más recordada fue la conquista","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. un muro entero hecho de ladrillos idénticos, todos con la misma inscripción repetida, como una firma infinita. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
53,07:22,07:36,Imagen,,HECHO,B14 Exilio,"de Jerusalén. Tras un largo asedio, la ciudad sagrada de los hebreos cayó, su gran templo fue destruido y miles de judíos fueron llevados cautivos a Babilonia. Comenzaba así el episodio que la tradición","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. columna de personas cautivas con túnicas caminando por el desierto hacia Babilonia, escoltadas, atmósfera sobria y respetuosa, sin violencia. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
54,07:36,07:50,Video,,HECHO,B14 Exilio,"judía recuerda como el exilio de Babilonia: uno de los momentos más dolorosos, y a la vez más formativos, de la historia de ese pueblo. No fue crueldad gratuita; fue política. Nabucodonosor arrancaba a las","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. travelling lateral sobre una larga fila de deportados avanzando cansados hacia las murallas de Babilonia al atardecer, siluetas a contraluz, tono melancólico. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
55,07:50,08:03,Imagen,,HECHO,B14 Exilio,"élites de los pueblos que conquistaba —sus sacerdotes, sus escribas, sus artesanos— y los trasladaba a su capital para vigilarlos y, con el tiempo, absorberlos. Y aquí ocurre una de las grandes paradojas de","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. un templo lejano en llamas al fondo mientras la caravana de cautivos se aleja, humo subiendo, plano sobrio y simbólico. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
56,08:03,08:17,Imagen,,HECHO,B14 Exilio,"la historia. Esa política de deportación convirtió a Babilonia en el lugar más culto y cosmopolita del mundo. Los escribas judíos que vivían allí, junto a los ríos de Babilonia, pusieron por escrito y dieron","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una lira antigua y un fardo de pertenencias en manos de un deportado, símbolo del hogar perdido. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
57,08:17,08:31,Imagen,,HECHO,B15 Escribas,"forma a textos que después serían el corazón de la Biblia hebrea, absorbiendo imágenes y estructuras que venían directamente de Mesopotamia. El verdugo, sin saberlo, estaba ayudando a escribir uno de los libros más","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. escribas con túnicas sentados junto a un canal de Babilonia escribiendo en rollos y tablillas bajo palmeras. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
58,08:31,08:45,Video,,HECHO,B15 Escribas,"influyentes de la humanidad. Pero cuando Nabucodonosor murió, dejó dos herencias. Dejó la ciudad más grande del mundo. Y dejó, sin darse cuenta, una trampa: un trono demasiado codiciado, una clase de sacerdotes que había","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio de un escriba anciano redactando textos a la orilla del río, reflejo del agua, palmeras meciéndose, ambiente sereno. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
59,08:45,08:58,Imagen,,HECHO,B15 Escribas,"acumulado un poder inmenso, y una élite de comerciantes que empezaba a entender que sus intereses no siempre eran los del rey. La grieta ya estaba abierta. Solo hacía falta tiempo para que se","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. manos escribiendo caracteres antiguos sobre un rollo, tintero y cálamo, luz cálida. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
60,08:58,09:12,Imagen,,HECHO,B16 Grieta,"convirtiera en abismo. Hay un patrón que se repite con precisión casi matemática en la historia de los grandes imperios. El fundador muere, y los que él mantenía a raya se lanzan unos contra otros","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. un trono babilonio vacío en una sala palaciega en penumbra, un manto real abandonado sobre él. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
61,09:12,09:26,Video,,HECHO,B16 Grieta,con una ferocidad que a veces supera a la de sus enemigos. Babilonia no fue la excepción; fue uno de los ejemplos más dramáticos. En los veintitrés años que siguieron a la muerte de,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. primer plano de una grieta fina abriéndose en un muro dorado de ladrillo, el polvo cayendo, metáfora del imperio agrietándose. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
62,09:26,09:40,Imagen,,HECHO,B16 Grieta,"Nabucodonosor, Babilonia tuvo cuatro reyes distintos. Su propio hijo ocupó el trono apenas dos años antes de ser derrocado por su cuñado, un general que dio un golpe de palacio. Ese general gobernó unos pocos","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. sacerdotes y nobles reunidos en penumbra murmurando entre columnas, atmósfera de intriga palaciega. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
63,09:40,09:54,Imagen,,HECHO,B17 Sucesion,"años; a su muerte, su hijo, todavía joven e inexperto, duró apenas unos meses antes de ser eliminado por un grupo de conspiradores de la élite. En menos de una década, el trono más","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. cuatro coronas o tocados reales distintos alineados sobre un paño oscuro, simbolizando cuatro reyes en pocos años. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
64,09:54,10:08,Video,,HECHO,B17 Sucesion,"poderoso del mundo había pasado por varias manos, casi todas manchadas de sangre. El aparato seguía funcionando por inercia. Los templos recibían sus ofrendas, los mercados abrían cada mañana con la misma energía de siempre.","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. montaje simbólico: una corona real pasando de unas manos a otras en penumbra palaciega, tensión, cambios de poder. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
65,10:08,10:21,Imagen,,HECHO,B17 Sucesion,"Pero el centro de poder se había convertido en un vacío. Y un vacío así solo espera a que aparezca alguien lo bastante ambicioso para llenarlo. El hombre que finalmente lo llenó fue, quizá,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una daga ceremonial y un sello real sobre una mesa de piedra, penumbra, presagio de conspiración, sobrio y sin violencia. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
66,10:21,10:35,Imagen,,HECHO,B17 Sucesion,el rey más extraño que se sentó jamás en el trono de Babilonia. Se llamaba Nabónido. Y su historia es una de las más contradictorias y más trágicas que nos dejó el mundo antiguo.,"Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. salón del trono vacío y frío, luz gris entrando, sensación de inestabilidad. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
67,10:35,10:49,Imagen,,HECHO,B18 Vacio,"Nabónido no era de sangre real. Era un aristócrata de provincias, hijo de una sacerdotisa de la ciudad de Harrán, entregada al culto del dios lunar Sin. Llegó al trono no por derecho de nacimiento,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. mercado y templos de Babilonia funcionando con normalidad al amanecer, pero el palacio al fondo en sombra. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
68,10:49,11:02,Video,,HECHO,B18 Vacio,"sino por las maniobras de la misma élite que había eliminado al rey anterior. Lo eligieron porque lo creían respetable, pero también manejable. En las dos cosas se equivocaron. Su primera gran provocación fue","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano general del salón del trono con un haz de luz cayendo sobre el asiento vacío, motas de polvo flotando, silencio. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
69,11:02,11:16,Imagen,,HECHO,B18 Vacio,"religiosa. En lugar de poner a Marduc, el dios supremo de Babilonia, en el centro de todo, como mandaba la tradición, Nabónido empezó a promover abiertamente el culto a Sin, el dios de su madre,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. figura de un aristócrata de provincias, Nabónido, entrando en el salón del trono con paso dudoso. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
70,11:16,11:30,Imagen,,HECHO,B19 Nabonido,"el dios de su ciudad natal. Y esto no era un capricho personal inofensivo. En Babilonia, tocar a Marduc era tocar el alma de la ciudad. Los sacerdotes del Esagila lo vivieron como una","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. retrato de Nabónido, rey babilonio de mirada introspectiva, señalando con un cetro un símbolo de luna creciente. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
71,11:30,11:44,Imagen,,HECHO,B19 Nabonido,"herejía. Y el pueblo, profundamente ligado a su dios, lo vivió como una traición personal. Y entonces Nabónido hizo algo que ningún rey babilonio había hecho jamás. Abandonó su capital. Durante unos diez años, el","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. símbolo del dios lunar Sin, una luna creciente, tallado en una estela de piedra. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
72,11:44,11:58,Video,,HECHO,B19 Nabonido,"rey de Babilonia vivió lejos, en el oasis de Tayma, en lo que hoy es Arabia Saudita, restaurando templos antiguos y buscando algo que los historiadores todavía debaten: quizá una revelación religiosa, quizá una","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. Nabónido rindiendo culto de noche ante un altar con el emblema de la luna creciente, incienso, luz plateada, en vez de ante Marduc. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
73,11:58,12:12,Imagen,,HECHO,B19 Nabonido,"ruta comercial, quizá solo el deseo de un hombre que nunca encajó en la vida de la corte de estar lo más lejos posible de ella. Piénsalo un momento. El rey más poderoso del mundo,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. una sacerdotisa anciana (su madre) ante el santuario lunar de la ciudad de Harrán, atmósfera devota. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
74,12:12,12:25,Imagen,,HECHO,B20 Herejia,"ausente de su propia capital durante una década. Y mientras tanto, año tras año, la gran fiesta del Año Nuevo, el festival Akitu, no se pudo celebrar como debía. Porque para el ritual central","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. sacerdotes de Marduc con gesto de indignación contenida en el templo Esagila, sombras dramáticas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
75,12:25,12:39,Video,,HECHO,B20 Herejia,"hacía falta el rey, y el rey no estaba. Aquella mano que debía tomar la mano de Marduc cada año… quedó vacía. Para los sacerdotes y para el pueblo, era como si el pacto entre","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. plano medio de sacerdotes de Marduc apartándose del altar principal desatendido, el fuego ritual apagándose, tensión religiosa. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle."
76,12:39,12:53,Imagen,,HECHO,B20 Herejia,"la ciudad y su dios se hubiera roto. En ausencia de Nabónido, su hijo Belsasar gobernaba Babilonia como regente, pero sin el título completo de rey. Una figura a medias, con un poder ambiguo,","Babilonia neobabilónica, siglo VI a.C., Mesopotamia histórica (entre los ríos Éufrates y Tigris), arquitectura mesopotámica auténtica (muros de ladrillo de barro y betún, azulejos vidriados azul lapislázuli con relieves dorados de leones, toros y dragones, zigurat escalonado de siete pisos), túnicas y mantos mesopotámicos, barbas rizadas babilónicas. altar de Marduc con las ofrendas marchitas y la lámpara apagada, símbolo del culto descuidado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico cinematográfico, 8K, iluminación volumétrica cálida, gran detalle."
