Orden,Tipo,N_tipo,Bloque,Movimiento,Prompt_Final,Prompt_Negativo,Narracion
45,CLIP,18,N9,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. macro deslizándose sobre un fresco vibrante que ""parece respirar"". Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y dentro de las villas de los más ricos se escondían tesoros: jardines, mosaicos, frescos vivos"
46,IMG,28,N10,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. cuartel de gladiadores con armas y cascos de bronce colgados. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",En el gran anfiteatro… combatían los gladiadores… se hallaron sus armas y celdas
47,IMG,29,N10,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. detalle de un casco de gladiador de bronce decorado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",En el gran anfiteatro… combatían los gladiadores… se hallaron sus armas y celdas
48,IMG,30,N10,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. celda austera de gladiador con grilletes. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",En el gran anfiteatro… combatían los gladiadores… se hallaron sus armas y celdas
49,CLIP,19,N10,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de gladiadores entrenando en el patio del cuartel, polvo y esfuerzo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",En el gran anfiteatro… combatían los gladiadores… se hallaron sus armas y celdas
50,CLIP,20,N10,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contrapicado de un gladiador entrando a la arena entre el rugido de la multitud. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",En el gran anfiteatro… combatían los gladiadores… se hallaron sus armas y celdas
51,IMG,31,N11,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. esclavos acarreando ánforas de agua al amanecer. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las mañanas empezaban temprano… esclavos, artesanos, niños en la escuela, políticos en el foro"
52,IMG,32,N11,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. niños romanos con tablillas de cera recitando en la escuela. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las mañanas empezaban temprano… esclavos, artesanos, niños en la escuela, políticos en el foro"
53,IMG,33,N11,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. cartel electoral pintado en una pared del foro. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las mañanas empezaban temprano… esclavos, artesanos, niños en la escuela, políticos en el foro"
54,CLIP,21,N11,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por el foro lleno de actividad matinal, togas y conversaciones. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las mañanas empezaban temprano… esclavos, artesanos, niños en la escuela, políticos en el foro"
55,CLIP,22,N11,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de un artesano abriendo su taller y comenzando a trabajar. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Las mañanas empezaban temprano… esclavos, artesanos, niños en la escuela, políticos en el foro"
56,IMG,34,N12,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. laderas del Vesubio cubiertas de viñedos verdes y villas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero sobre toda esa belleza se alzaba el Vesubio… para ellos no era un volcán, era una montaña fértil"
57,IMG,35,N12,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. racimos de uvas cargadas al sol, el volcán detrás. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero sobre toda esa belleza se alzaba el Vesubio… para ellos no era un volcán, era una montaña fértil"
58,IMG,36,N12,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. villa de recreo en la falda del volcán, idílica. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero sobre toda esa belleza se alzaba el Vesubio… para ellos no era un volcán, era una montaña fértil"
59,CLIP,23,N12,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por los viñedos del Vesubio, paz y fertilidad, ironía trágica. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero sobre toda esa belleza se alzaba el Vesubio… para ellos no era un volcán, era una montaña fértil"
60,CLIP,24,N12,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contrapicado lento hacia la cima serena del volcán, calma engañosa. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero sobre toda esa belleza se alzaba el Vesubio… para ellos no era un volcán, era una montaña fértil"
61,IMG,37,N13,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. familia romana vendimiando despreocupada en la ladera. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Llevaba durmiendo tanto tiempo… nadie imaginaba el monstruo que dormía bajo sus pies
62,IMG,38,N13,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la cima del Vesubio con una sola nube fina, sereno. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Llevaba durmiendo tanto tiempo… nadie imaginaba el monstruo que dormía bajo sus pies
63,IMG,39,N13,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. corte ilustrativo del subsuelo con la cámara de magma latente (estilo grabado). Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Llevaba durmiendo tanto tiempo… nadie imaginaba el monstruo que dormía bajo sus pies
64,CLIP,25,N13,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano medio de la familia recogiendo uvas, el volcán imponente detrás, ajenos al peligro. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Llevaba durmiendo tanto tiempo… nadie imaginaba el monstruo que dormía bajo sus pies
65,CLIP,26,N13,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. descenso de cámara desde la cima tranquila hacia las raíces ardientes ocultas (sugerido). Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Llevaba durmiendo tanto tiempo… nadie imaginaba el monstruo que dormía bajo sus pies
66,IMG,40,N14,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. agua temblando en un cuenco de cerámica, ondas concéntricas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Lo que los pompeyanos no podían saber es que su montaña llevaba semanas enviando advertencias… temblores, pozos secos, animales inquietos"
67,IMG,41,N14,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. pozo romano seco y agrietado, cubo vacío al lado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Lo que los pompeyanos no podían saber es que su montaña llevaba semanas enviando advertencias… temblores, pozos secos, animales inquietos"
68,IMG,42,N14,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. animales inquietos (perros, caballos) mirando hacia la montaña. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Lo que los pompeyanos no podían saber es que su montaña llevaba semanas enviando advertencias… temblores, pozos secos, animales inquietos"
69,CLIP,27,N14,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. macro del agua vibrando en el cuenco por un temblor, tensión sutil. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Lo que los pompeyanos no podían saber es que su montaña llevaba semanas enviando advertencias… temblores, pozos secos, animales inquietos"
70,CLIP,28,N14,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de caballos encabritándose nerviosos en un establo, presintiendo algo. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Lo que los pompeyanos no podían saber es que su montaña llevaba semanas enviando advertencias… temblores, pozos secos, animales inquietos"
71,IMG,43,N15,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. relieve/fresco mostrando edificios dañados por el terremoto del 62 d.C. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero tenían una razón para no alarmarse. Diecisiete años antes, un terremoto ya había sacudido la región"
72,IMG,44,N15,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. andamios y obras de reconstrucción en un templo de Pompeya. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero tenían una razón para no alarmarse. Diecisiete años antes, un terremoto ya había sacudido la región"
73,IMG,45,N15,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. grietas reparadas en un muro de mármol. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero tenían una razón para no alarmarse. Diecisiete años antes, un terremoto ya había sacudido la región"
74,CLIP,29,N15,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por una zona en reconstrucción, obreros reparando columnas. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero tenían una razón para no alarmarse. Diecisiete años antes, un terremoto ya había sacudido la región"
75,CLIP,30,N15,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de ciudadanos pasando indiferentes junto a un edificio en obras. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Pero tenían una razón para no alarmarse. Diecisiete años antes, un terremoto ya había sacudido la región"
76,IMG,46,N16,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. amanecer normal y tranquilo sobre Pompeya, cielo despejado. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Nadie hizo la conexión… La mañana del 24 de octubre todo parecía normal. Sería el último amanecer normal de Pompeya.
77,IMG,47,N16,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. mercado abriendo, vida cotidiana en marcha. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Nadie hizo la conexión… La mañana del 24 de octubre todo parecía normal. Sería el último amanecer normal de Pompeya.
78,IMG,48,N16,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. el Vesubio sereno al fondo de una calle concurrida. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Nadie hizo la conexión… La mañana del 24 de octubre todo parecía normal. Sería el último amanecer normal de Pompeya.
79,CLIP,31,N16,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling por la ciudad despertando con normalidad, luz dorada, calma engañosa. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Nadie hizo la conexión… La mañana del 24 de octubre todo parecía normal. Sería el último amanecer normal de Pompeya.
80,CLIP,32,N16,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de una familia desayunando en su casa, gestos cotidianos. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Nadie hizo la conexión… La mañana del 24 de octubre todo parecía normal. Sería el último amanecer normal de Pompeya.
81,IMG,49,N17,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. frutas de otoño carbonizadas (granadas, nueces) halladas en Pompeya. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Durante siglos se creyó que fue el 24 de agosto… pero hallazgos recientes lo ponen en duda: frutas de otoño, braseros, una inscripción de octubre"
82,IMG,50,N17,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. brasero de bronce romano encendido para el frío. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Durante siglos se creyó que fue el 24 de agosto… pero hallazgos recientes lo ponen en duda: frutas de otoño, braseros, una inscripción de octubre"
83,IMG,51,N17,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. inscripción a carboncillo con una fecha en una pared. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Durante siglos se creyó que fue el 24 de agosto… pero hallazgos recientes lo ponen en duda: frutas de otoño, braseros, una inscripción de octubre"
84,CLIP,33,N17,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. macro paneo sobre las frutas de otoño y el brasero, pistas del enigma. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Durante siglos se creyó que fue el 24 de agosto… pero hallazgos recientes lo ponen en duda: frutas de otoño, braseros, una inscripción de octubre"
85,CLIP,34,N17,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. primer plano de la inscripción a carboncillo revelándose bajo la luz, intriga histórica. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Durante siglos se creyó que fue el 24 de agosto… pero hallazgos recientes lo ponen en duda: frutas de otoño, braseros, una inscripción de octubre"
86,IMG,52,N18,zoom-in rápido,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la cima del Vesubio reventando, primer instante de la explosión. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y entonces, alrededor del mediodía, el mundo se partió en dos. La cima del Vesubio reventó"
87,IMG,53,N18,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. onda de choque sacudiendo la bahía. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y entonces, alrededor del mediodía, el mundo se partió en dos. La cima del Vesubio reventó"
88,IMG,54,N18,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. gente en la calle volviéndose hacia el estruendo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y entonces, alrededor del mediodía, el mundo se partió en dos. La cima del Vesubio reventó"
89,CLIP,35,N18,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano general de la explosión, columna de ceniza disparándose hacia el cielo a gran velocidad. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y entonces, alrededor del mediodía, el mundo se partió en dos. La cima del Vesubio reventó"
